ID,Class,500_10,500_3,505_10,505_3,509_10,509_3,510_10,510_3,515_10,515_3,517_10,517_3,518_10,518_3,519_10,519_3,521_10,521_3,522_10,522_3,524_10,524_3,528_10,528_3,532_10,532_3,534_10,534_3,535_10,535_3,536_10,536_3,538_10,538_3,541_10,541_3,542_10,542_3,547_10,547_3,548_10,548_3,549_10,549_3,553_10,553_3,555_10,555_3,562_10,562_3,564_10,564_3,568_10,568_3,571_10,571_3,572_10,572_3,573_10,573_3,577_10,577_3,578_10,578_3,579_10,579_3,580_10,580_3,584_10,584_3,590_10,590_3,592_10,592_3
"(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic_acid_",Oxindoles,469459,960233,808832,579995,870300,382593,1181142,1122609,1710196,409227,775536,803819,393173,915136,575812,452996,510382,662212,404772,649162,1641476,515545,1002119,936932,945641,1271527,907046,803074,1153338,719859,726924,578285,644402,671468,780368,934291,397286,729624,1058914,729794,1185143,556271,1117012,314685,1367408,314221,726784,454190,699810,441138,666399,1176120,1654806,430794,379789,362852,582361,542982,588797,465762,301343,801357,1041456,832982,748659,407558,1366293,1244741,706105,949440,349681,1247617,721544,988591
(2R)-3-Hydroxyisovaleroylcarnitine,Carnitines,12499,1531,31845,2060,17263,1495,18400,1291,677,913,19691,792,31249,435,9136,1306,8802,1181,25962,452,5751,1284,12293,2005,873,1376,407,448,696,3840,31156,4270,25594,841,12188,670,23567,1732,1036,2873,486,1703,410,496,1407,8063,22474,3458,28970,7039,12619,3653,599,1243,11618,677,14424,6119,11896,11546,43326,718,18710,1108,17026,1307,870,1523,5247,2623,6430,694,2756,1791
(3-Phenylpropionyl)glycine,N-acylglycines,10290,847,1388,978,2377,1017,1367,1243,937,638,5801,789,1080,1090,1432,958,1746,660,1741,3596,4288,1170,2230,661,2576,929,635,870,956,1139,1035,1098,1157,591,1175,2979,1464,1212,961,869,718,1714,854,512,1585,697,8312,945,2924,1397,3305,1368,1226,998,1490,1026,1034,1273,3501,2163,1351,977,1172,1094,9056,766,1140,1079,4608,2373,1465,909,558,1422
"(4R)-4-((3R,5R,6S,7R,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic_acid",Steroid_metabolites,25872,122512,61630,280725,91247,57932,74904,87472,54253,26114,12086,159007,108435,48770,143431,301565,17659,121633,67861,18188,184256,206448,35706,82051,24706,115056,14527,79314,251623,140971,13242,28093,15420,83251,11270,575344,13479,178623,100600,92931,57594,74960,24598,136367,232563,48930,10310,197451,58254,34274,37326,279689,179820,100034,46832,85770,68895,193409,51882,63180,432589,126328,89106,393394,64255,71451,56435,55740,25520,56541,33551,33053,42229,97227
"(9Z,12R)-12-Hydroxyoctadec-9-enoic_acid_",Fatty_acids_and_derivatives,64503,565250,173497,224055,348602,332413,438766,476650,224940,159085,162899,643170,126771,253716,408822,262510,279622,655328,53833,171281,439229,260376,469643,161571,391394,288797,200908,266219,238813,399523,86626,67840,565758,210425,373174,508911,116011,367446,273594,280326,206754,760547,289249,735560,722224,103539,330440,358917,337028,200314,635961,478456,322107,92875,648617,250325,225622,137285,196656,204883,93855,391969,428042,370882,216747,312509,126805,225690,249974,318704,61940,196641,248025,453008
(dehydro)ornithine_,Amino_acids,4623,18232,13554,18943,9350,11462,11345,10425,10143,9949,3603,18140,5385,18448,13530,19515,25535,9667,4277,12912,28180,17166,14114,5794,27271,15783,9745,28308,12410,7169,5810,5226,17613,8964,19126,21379,4172,23630,14814,12613,6873,21268,21630,3228,10891,4605,31463,5399,25556,9687,25640,11526,19265,8112,17619,24550,4564,18374,18899,22328,2066,31394,24829,24143,15440,4908,18574,13448,26569,27216,2695,15197,7075,25688
"(E)-3,10-Dihydroxy-4,9-dimethyldodec-6-enedioic_acid",Fatty_acids_and_derivatives,11373,19176,24667,12922,16379,13484,44934,37228,49985,7591,26487,17675,8023,19636,15802,10607,13881,30945,10312,35398,51161,9924,28506,28969,44027,29625,39291,24074,43025,14497,22958,10394,28008,15638,33092,26183,10473,20949,53196,18168,44385,38689,48412,24631,93438,6481,15408,11028,18919,7984,16216,30971,60048,6243,12206,62051,15360,10968,13719,8716,8779,20067,42060,17828,20982,43007,62481,34843,19468,25546,16237,37578,37944,29214
(sulfanylsulfonyl)methane_,Methane_metabolite,15031,4570,7342,3309,16430,5930,8133,913,3675,3945,18930,1586,14899,2295,4263,2840,6767,682,5101,1023,12259,3126,9427,589,2870,1435,2337,1966,3453,7606,11980,7521,12730,2613,2774,1550,10776,2644,1403,5354,4611,5108,1986,280,6427,5360,30976,5326,13141,13909,21532,3728,5086,4329,14221,565,11947,11499,15844,8656,2607,1242,6651,5525,24456,330,3403,397,18762,9606,4875,1660,2713,13275
"(Z)-5,8,11-trihydroxyoctadec-9-enoic_acid_",Fatty_acids_and_derivatives,11722,53339,21191,16994,24220,19054,41881,32396,23825,16257,9281,31147,16450,23986,19433,13067,18950,17569,13989,14903,51741,25170,16814,6845,38904,36624,15447,23093,35222,21309,21652,11267,21994,29336,38348,47770,7111,25295,45079,17645,23398,53039,15100,25908,42207,8488,19414,11795,19406,10280,25236,22880,34389,11250,27338,25171,15301,13200,23185,9797,8004,38164,36151,32922,17395,19375,28372,31771,19134,20889,11193,23578,38080,51786
.alpha.-Tocopheryl_acetate,Vitamin_E,12226,62801,22495,5771,1789,64254,2604,48868,4246,13199,15615,93779,14391,3147,29062,24999,8743,96853,6538,35056,4508,5369,7035,16109,23229,9904,31102,7472,2154,77511,2724,17620,17530,24956,4390,26863,55363,23531,3722,64578,2786,15152,14485,79476,2202,44064,6457,26766,10643,44877,38093,22796,9783,32876,47600,31816,24072,19048,4511,15656,15151,3224,6136,31974,3308,40094,1913,13131,2505,52964,2474,97280,4573,53542
