Species,X500_10,X500_3,X505_10,X505_3,X509_10,X509_3,X510_10,X510_3,X515_10,X515_3,X517_10,X517_3,X518_10,X518_3,X519_10,X519_3,X521_10,X521_3,X522_10,X522_3,X524_10,X524_3,X528_10,X528_3,X532_10,X532_3,X534_10,X534_3,X535_10,X535_3,X536_10,X536_3,X538_10,X538_3,X541_10,X541_3,X542_10,X542_3,X547_10,X547_3,X548_10,X548_3,X549_10,X549_3,X553_10,X553_3,X555_10,X555_3,X562_10,X562_3,X564_10,X564_3,X568_10,X568_3,X571_10,X571_3,X572_10,X572_3,X573_10,X573_3,X577_10,X577_3,X578_10,X578_3,X579_10,X579_3,X580_10,X580_3,X584_10,X584_3,X590_10,X590_3,X592_10,X592_3
14-2_sp,323373.464,80671.941,238116.643,187863.989,269222.255,253739.062,286562.415,127583.79,200370.489,182679.65,158265.985,144601.354,417673.256,350683.184,207693.812,476918.367,293041.343,393333.375,175872.634,224022.489,233465.151,156721.546,248435.819,259184.708,223515.551,137326.941,308975.832,195848.062,227306.529,161747.546,299390.401,263028.165,459328.645,263025.059,310395.876,304468.076,291489.844,311014.198,234737.352,266069.046,283317.337,231318.193,180505.136,185702.492,145579.272,121100.289,405118.188,155756.709,361089.113,231983.758,253004.685,332476.718,301996.531,177343.756,353831.375,234038.326,324510.871,244459.609,163994.398,237631.232,191032.774,402346.593,304834.528,123472.199,241768.571,164174.694,362224.967,213333.683,213464.551,234014.394,238829.216,127411.426,367613.98,255279.908
14-2_sp000403315,195303.103,41907.337,231875.582,206759.31,234641.35,152539.309,240464.927,17992.856,210372.193,160647.783,135766.731,68701.213,1069212.734,363518.639,408515.327,219446.983,677293.278,185126.87,116050.386,65916.209,75970.408,187021.491,259869.191,157454.475,92940.658,56133.348,848531.898,207111.478,207874.232,92792.844,380154.758,158080.394,1082104.255,195196.246,114813.731,256848.9,271675.64,114303.205,309779.649,206724.401,168762.003,125683.977,186464.766,693152.018,154627.966,317122.618,276697.037,351546.876,310150.76,157123.109,227426.51,212036.223,47724.837,65301.849,1158586.119,139091.991,498157.085,156637.9,269776.121,321161.703,228450.487,352065.351,611983.183,112840.152,663544.785,76435.054,418101.427,30277.556,151794.247,53905.987,400778.478,137982.45,479036.962,148450.616
14-2_sp004793545,3815214.555,285017.042,455197.275,403343.537,1260451.824,1403091.835,2139838.743,231503.063,605788.922,878107.713,909145.383,378572.96,645557.517,556815.395,1524438.799,1241254.958,755052.498,917411.333,636421.24,618977.159,1181298.527,1600102.048,1102855.364,593075.681,1306103.733,433960.869,283632.492,426422.005,631063.782,717233.507,2510881.238,1281076.359,894964.43,1475715.429,1189563.193,2396464.984,1303669.919,795786.832,967336.911,409571.52,846497.044,564514.967,438702.379,688874.816,418264.343,370736.442,1997171.333,465378.458,1656297.825,703131.836,836655.026,746340.845,500480.796,815477.863,1572325.568,798656.185,911314.12,813696.268,385030.067,846734.745,436167.48,1348006.727,1268796.701,333328.944,1848690.049,638756.708,430857.834,576458.268,1120889.308,568248.177,318518.511,334113.074,1305185.725,150438.703
14-2_sp910576385,184391.994,54770.421,166300.369,223701.506,160950.445,227369.599,208915.394,102229.921,137562.974,146336.929,117380.491,195504.17,340462.236,524781.705,140636.048,743932.237,177207.144,536288.028,105404.137,148502.471,172142.514,97638.221,203909.932,354902.168,159134.569,104837.491,192484.584,256667.57,163520.836,163371.681,210575.837,240323.713,307892.009,289768.142,202993.085,499915.131,208106.416,293819.104,144753.743,281920.31,178659.477,203238.895,134855.803,169786.58,108401.37,98102.376,294954.255,110816.933,243987.557,196407.098,175712.567,391188.622,223629.354,248128.89,211847.005,173863.802,206610.866,177335.9,111205.414,162588.64,109894.648,521775.721,192098.645,114081.505,116813.643,172524.357,257029.426,188240.635,120226.469,171690.855,160480.445,141609.092,253115.783,252622.997
14-2_sp910577785,256668.069,26719.095,77955.225,46275.165,102499.75,38891.521,26487.34,7901.11,54555.532,4692.138,33900.626,15109.835,70088.54,48658.884,59572.875,39479.971,77522.225,44163.399,39744.85,70587.626,4846.94,5659.271,62622.801,42406.536,118475.167,24126.325,150905.27,28822.592,52576.076,4173.932,24456.634,10048.667,12589.043,10603.598,9353.708,10838.608,67447.142,57667.985,58707.195,44540.779,51224.319,83238.698,4538.208,34855.248,38445.269,41997.326,71620.585,38586.027,142268.999,19179.079,71505.958,35304.093,66800.177,28985.634,118133.638,61722.185,54239.239,49802.941,45994.004,83444.656,54358.688,38436.003,105666.684,16236.759,189488.994,15256.278,14161.605,3608.862,33669.094,2133.986,88191.693,10717.391,120536.87,22307.66
14-2_sp910580015,121986.017,20851.334,57270.784,72977.642,106534.27,128886.88,143660.761,94599.882,122449.172,106840.181,111698.056,61452.456,162716.64,152200.522,159305.394,138481.535,250661.465,141251.82,117364.272,90583.667,85850.652,75154.298,74186.864,75820.693,115470.74,35249.668,157577.086,45527.182,51107.514,45774.602,138055.927,85262.018,97538.374,105845.289,137184.753,89607.291,143389.353,136236.312,143258.797,221684.29,129967.434,185619.074,127512.697,66056.053,46148.588,50154.218,143055.293,50856.99,100180.289,85576.232,85750.421,108763.301,114326.397,57871.125,272493.744,151499.76,163818.907,129287.498,128277.907,128539.618,71196.321,124461.088,88888.952,189062.771,92474.951,66385.552,309792.821,73000.311,118952.918,86029.069,104705.281,65245.148,130273.599,160292.719
1XD42-69_sp,174630.193,42094.351,90089.452,60746.466,153692.27,140651.693,167827.326,95724.835,71116.219,39077.153,100542.581,59680.34,78224.281,71002.218,90021.395,121058.782,101658.7,134045,85414.117,212938.505,74969.421,41628.027,90083.074,43391.742,85436.358,36645.775,99378.47,74474.6,73191.357,50432.533,109394.956,137774.494,89731.246,86263.213,108571.28,22838.826,100545.4,81093.302,90631.011,107660.098,99904.975,136028.622,55220.243,64517.02,53621.784,58153.321,132999.188,60202.447,124654.043,74521.556,104511.76,126838.424,91700.439,79959.661,133651.648,103425.885,135101.884,76462.84,84589.107,96796.741,67738.872,201166.361,92077.514,58011.892,119731.085,63707.369,148102.757,43789.222,90610.014,37294.493,105027.172,25490.104,137762.318,99003.981
1XD42-69_sp009911505,44715.568,6172.922,12875.751,15308.667,22416.212,6625.889,5891.269,2168.408,5586.091,4917.209,2915.357,2457.757,7533.844,10018.305,4654.631,5575.597,6018.458,6559.014,2821.98,3374.01,3993.222,1836.055,20797.449,26505.075,5879.724,1744.224,6394.31,2563.848,12456.54,9941.885,42353.544,9693.905,27918.116,35001.235,7702.794,6091.145,14153.759,24717.691,6411.041,3748.941,5573.59,3934.97,2888.469,11636.921,2763.684,2150.421,7312.063,2734.261,7148.213,5905.614,4747.561,7581.512,13763.612,6605.745,5845.281,5460.167,6720.429,3818.424,11123.132,21800.927,5168.951,8127.026,18688.407,3373.634,21458.155,4256.216,8130.897,2251.075,4087.031,2051.961,32757.067,3193.832,23767.408,9172.261
1XD42-69_sp011959925,141511.461,71100.556,135164.273,80741.536,269251.637,290679.151,358570.631,143254.738,139143.606,55669.925,112260.79,46997.97,41065.936,100963.753,81537.326,143176.344,99489.62,126571.892,122892.975,125717.161,98771.488,4412.441,105008.209,84448.029,155074.787,84924.664,131450.302,128219.621,118547.199,118966.65,123312.821,265379.706,107673.237,170453.018,139012.495,29833.623,129683.456,161408.06,149275.643,113189.026,152312.948,123345.58,95122.141,69512.525,123785.497,130168.33,205524.267,85520.823,182920.938,162668.253,296901.921,259872.869,92478.227,81667.255,171962.351,159734.182,173972.795,111337.575,88335.811,129873.965,78011.261,227517.269,141368.947,127558.354,152157.946,142999.476,186674.397,69273.262,107007.027,56909.082,156472.937,12303.862,125290.005,139791.53
1XD8-76_sp910573755,258179.206,15754.41,71088.523,44310.402,78070.852,17331.591,37367.511,11081.321,40004.464,10858.364,88728.617,14559.474,60682.413,52369.826,124325.68,24752.415,104986.298,22476.563,40295.58,67015.815,44121.145,7061.234,55694.01,26641.211,46402.877,13797.871,122313.406,16190.569,60020.359,3439.165,167518.866,8648.781,46249.244,10626.66,62930.522,11814.959,87449.57,36819.883,66982.648,17135.368,49639.626,41622.803,7744.832,29511.633,22002.451,23374.848,163335.629,25098.005,114986.455,33975.332,29615.682,31228.536,70291.25,9334.887,77596.041,19829.257,43266.116,15339.29,37469.2,76479.357,46237.023,20082.268,99080.21,10914.304,130890.167,34402.652,37168.488,4190.705,35906.841,4756.695,95436.851,7100.122,157002.25,18007.331
Acetatifactor_sp,235528.919,84121.798,121636.492,149660.041,229091.1,150580.566,175690.492,82190.859,141031.487,55904.302,96113.496,68372.784,173085.531,279873.149,329941.179,383466.247,323097.236,296567.157,161918.065,374027.845,103329.566,173773.328,133830.079,197697.872,210157.366,49949.158,197747.177,86712.42,92593.691,58899.159,96043.393,115237.983,163810.326,167155.856,192625.647,47271.367,158116.754,273411.619,146972.402,227742.249,122070.979,326523.59,68481.62,94940.631,75252.392,84883.999,249001.777,102008.775,260346.224,162688.461,139984.567,197817.464,78301.789,56171.206,317830.886,154291.041,186305.286,133711.679,185923.995,171048.994,81541.227,454555.376,188472.574,214276.426,270363.105,162783.399,253860.723,30585.468,140403.739,48484.521,200118.427,79577.615,402845.866,320042.192
Acetatifactor_sp011959105,359221.547,70607.606,337578.107,367462.69,137476.786,59574.122,186307.324,40626.752,152044.463,243280.902,102469.453,96950.721,168964.998,364104.427,208402.696,376148.908,153830.332,375834.374,178288.812,85167.78,226359.292,42903.075,166031.949,310703.969,349119.537,192236.651,385333.397,181217.718,163727.807,20805.031,130950.606,42919.2,276318.14,50385.686,156479.201,47604.844,401854.147,381040.781,141627.272,264802.951,268765.464,72830.98,227345.091,26640.836,285941.816,19846.991,434782.604,50872.428,337908.933,41705.55,419593.565,62705.736,86752.16,27839.765,129270.568,73465.191,181716.85,85610.085,208643.938,67620.113,263354.242,240839.268,475484.102,46027.557,228387.437,56505.202,164952.133,40169.065,66994.682,54602.576,487367.633,22641.629,501659.046,60517.069
Acetatifactor_sp910585425,125620.012,59541.197,44509.741,95703.848,97988.011,69360.444,60715.377,40520.264,60038.399,22483.352,47748.267,35005.624,84310.919,187953.738,126743.228,279104.724,146500.256,207358.59,68521.651,253642.681,49059.851,110390.139,50517.925,125778.401,100853.072,29710.016,76571.047,41679.32,36001.321,28172.478,34486.954,40021.944,57840.302,76168.078,76205.301,25209.377,64105.074,147312.007,56559.283,137790.076,38436.325,222799.591,31945.162,56200.075,32471.022,52266.05,109598.674,61055.033,120787.793,93660.88,44632.239,124430.489,27189.703,21511.875,125812.146,42442.212,80093.278,32784.405,77965.727,54739.87,27865.365,317844.325,83656.366,113078.088,142249.378,106005.084,113456.162,8134.97,51233.441,11149.919,125356.732,51027.903,163911.295,231411.696
Acetatifactor_sp910585615,38576.459,132.575,2573.191,1308.993,8303.344,361.529,502.527,99.272,2202.747,764.868,1147.94,70.807,354.579,622.621,471.426,307.01,6635.978,291.867,153.587,274.071,1632.828,2357.179,2770.164,2722.082,2134.973,691.458,4880.262,406.517,267.792,116.303,567.476,285.083,764.682,401.042,3183.353,3654.13,3758.166,2276.428,11586.142,643.998,4167.539,368.686,1252.642,129.195,229.474,233.788,9531.941,197.006,758.337,404.318,1720.506,1575.434,5738.298,885.654,5951.027,4879.221,2212.419,2844.648,3291.378,3737.412,1999.189,569.789,7393.695,731.186,11937.742,1618.704,5774.205,1363.151,3351.029,2851.865,6372.39,2446.157,5728.531,8420.163
Acetatifactor_sp910585665,113629.423,16261.65,78435.046,36762.805,124117.164,17045.249,57185.652,9859.546,86050.707,12273.456,47071.101,28186.417,79312.743,78041.289,253893.072,86145.209,188040.619,69527.173,110822.34,89058.945,44541.087,21729.887,66800.412,55159.463,96852.469,9368.405,54372.589,31653.265,50020.208,8063.421,32779.228,17673.992,82100.368,33734.954,128896.043,7583.675,81972.717,132034.78,78726.586,63178.491,73065.449,59277.101,30076.713,21802.809,36383.861,21271.338,138800.004,19543.704,158888.336,28797.058,78276.543,33792.875,15653.775,25315.547,193336.388,76196.975,85215.982,40024.159,111827.843,74328.91,35630.777,86875.676,75062.381,33155.676,134788.188,34346.994,64681.967,2000.119,87343.312,3006.161,34660.057,13627.515,318578.015,50269.785
Acetatifactor_sp910589035,682.921,222.914,340.467,103.914,313.214,336.524,179.192,15.804,282.653,208.228,96.553,24.584,79.859,67.042,133.047,246.284,134.183,114.617,57.188,56.414,126.284,246.121,1344.692,1714.555,371.774,76.059,440.433,100.614,88.316,18.633,44.423,27.684,79.81,77.628,320.452,462.557,216.319,131.99,176.648,84.193,102.373,76.622,78.592,21.409,184.151,60.329,28247.96,36.732,95.295,40.967,41.888,162.687,141.169,52.471,775.331,345.782,494.55,280.265,786.503,169.32,315.066,76.098,251.946,66.812,558.61,147.99,6741.903,6043.134,3645.354,8303.165,233225.633,319.154,71192.316,51376.455
