14202,500_10,500_3,505_10,505_3,509_10,509_3,510_10,510_3,515_10,515_3,517_10,517_3,518_10,518_3,519_10,519_3,521_10,521_3,522_10,522_3,524_10,524_3,528_10,528_3,532_10,532_3,534_10,534_3,535_10,535_3,536_10,536_3,538_10,538_3,541_10,541_3,542_10,542_3,547_10,547_3,548_10,548_3,549_10,549_3,553_10,553_3,555_10,555_3,562_10,562_3,564_10,564_3,568_10,568_3,571_10,571_3,572_10,572_3,573_10,573_3,577_10,577_3,578_10,578_3,579_10,579_3,580_10,580_3,584_10,584_3,590_10,590_3,592_10,592_3
"(Z)-9,12,13-trihydroxyoctadec-15-enoic_acid_",4807,7597,7849,5663,3269,9680,4700,10795,9751,4276,6600,8767,8326,5543,7918,5841,5742,6434,4473,10388,8711,6123,4623,5299,10451,10230,8004,7463,8404,13379,4725,6867,6151,6254,6837,8445,5251,5386,8475,7456,6756,12372,9012,8260,7189,4679,6509,6064,6166,6237,7065,7134,9752,7803,7546,10988,5354,5240,6214,6613,6974,5123,6817,6545,6356,9282,10772,13315,5633,7573,5887,12635,4555,11021
13-HODE,48981,108046,54193,71770,22659,94471,38065,84528,54305,42600,45075,52684,38004,35367,60293,74939,34640,93262,39695,43920,82397,55179,28645,42723,60859,61510,27122,31103,39484,122862,37346,43830,115440,33307,86762,26831,45527,75997,46443,104133,29122,75544,50507,90003,47298,48063,52913,137391,127458,95381,46185,79836,58547,62311,89645,58332,50491,37136,52607,99557,34814,43648,54496,40157,46847,108419,62841,126773,40998,75650,40401,35304,36432,60529
13-HpOTrE,1261,1107,1338,1094,1401,1606,1335,2138,1549,1124,1156,1071,1038,1440,1455,1293,1280,1255,1114,1688,2105,1519,1766,1026,3046,1183,1883,1121,970,1884,894,1538,1734,1518,1422,793,1235,1187,1241,1773,1022,5021,1267,2284,1208,894,2421,1416,1677,1317,2452,1343,1129,1163,1933,2500,1003,1186,1381,2492,928,1061,2393,1226,1735,2826,2886,1235,1734,1739,1215,832,1172,1023
13-KODE,17762,37410,22193,28290,8124,49062,17351,24811,23269,17351,16508,21467,19286,15869,33006,19817,11282,24600,19422,13497,26817,17251,10850,15646,14812,23305,9873,12917,18911,42478,15050,22624,34619,15474,28129,12555,21363,27074,18576,37969,13037,20561,14746,23382,16118,17898,19535,21390,36475,30770,14075,24960,19944,22716,27245,20652,22750,15421,22658,23282,17669,15417,18214,20388,17657,28505,18390,34154,14993,23208,15261,11082,17157,14445
15-OxoETE,3878,5406,7963,3465,2631,3276,2470,5881,14645,7544,6909,24897,4249,5565,6096,3330,4051,3752,4427,4503,5327,5377,4867,7008,16378,3703,4756,2622,8012,6389,3505,2889,2754,10567,6747,3779,3202,2715,6313,3292,8126,4466,3413,6319,7528,2718,4727,5419,3559,2869,4519,5642,5531,2373,7750,5736,10972,5793,6904,3069,6372,1881,15537,8222,2431,3896,3729,4260,3228,5612,5889,2740,8110,6075
"16,16-dimethylprostaglandin_A1",2531,2520,1734,2759,947,2366,2303,2153,2145,1646,3071,2044,1696,1705,2740,1849,982,2518,1407,1076,2925,2462,1326,1692,1530,2143,1384,1501,2200,2541,1325,2267,2909,1483,3069,1597,2266,2032,1636,3084,1505,2492,1505,2757,1508,1600,2560,2100,2249,2747,1602,2374,2236,1464,1977,1879,2486,2526,2095,2463,1957,1650,2135,1509,2270,2625,1468,2844,1353,2651,788,1136,1825,1357
3-hydroxymyristic_acid,1989,2896,2316,2803,2349,2799,2557,4037,2724,2344,2852,2266,3067,2408,2345,2516,2608,2076,2432,2799,2512,2794,2868,3100,3424,1872,5474,2048,1805,3067,2827,1778,2336,2354,3115,1625,1731,1580,2018,3391,1304,3329,2808,3390,2425,1416,2726,3212,2794,2155,4024,2230,2560,1070,3263,3572,2227,2201,2220,3872,2230,1489,1707,1675,3655,2668,3627,3462,1946,2452,1580,2406,1274,2613
4-METHYL-2-OXO-PENTANOIC_ACID,12219,2061,3183,3750,6999,6145,3436,5547,1893,6977,6675,1359,2230,2722,10281,2210,11490,1861,8946,2064,9392,5595,9541,3045,5892,1989,3444,2318,6631,2882,1003,5215,5512,2923,7139,4061,1795,7883,2807,3256,2448,3601,4964,1387,2408,2917,29923,2421,22566,6208,5447,2981,4749,2704,7784,3607,3435,7771,3300,6938,3480,3802,4866,3486,11747,2411,1905,902,12105,7535,11149,2424,1982,2839
5-HETE,3264,4808,3503,2799,2059,3140,1542,3960,3450,3205,3624,3763,2379,2880,4157,3042,2639,4162,2796,2893,5063,4614,1829,4336,3555,2341,3206,2422,2485,4179,1758,2610,2269,3017,2710,2421,2288,2094,3330,3206,2759,2839,2436,4890,3661,1685,2276,5659,2546,2235,2320,2718,3825,1987,2636,4271,2972,2715,2691,2594,1982,1730,2122,2787,2956,3387,3130,4097,2645,3934,2982,2018,2869,2713
8-(3-octyl-2-oxiranyl)octanoic_acid,605,917,1118,1009,784,1328,1146,919,698,792,446,1812,945,980,1618,766,1076,1323,283,820,1436,2210,1524,671,1856,1114,989,1406,113,1242,350,511,2140,387,1123,1842,769,1352,878,838,695,1298,1753,1466,970,663,1166,526,1174,1098,2324,1394,1008,613,2316,715,627,1227,1081,1441,677,848,1865,1100,1602,1223,1191,832,1034,1243,153,804,688,1708
"8,15-DiHETE",3195,4862,7001,2607,4418,3369,3508,4300,8372,5485,5337,9684,4781,5947,5199,3460,3424,3686,9149,3874,5250,6263,4421,4231,8942,3749,4120,3930,5604,3423,3853,2407,3354,4995,4788,3995,3015,3657,5938,3499,7198,6134,4346,4101,6324,1994,3834,4290,3296,2849,5450,5600,5838,2483,5631,4363,4916,5726,4918,2781,3354,2645,8750,5817,2522,4142,4253,3347,3681,3424,4223,2075,10451,3773
AAHFA_18:4;O|AAHFA_2:0/16:4;O,4374,10408,3472,1721,2927,3633,2684,8179,5218,9385,6500,18708,2452,15635,4258,7814,1190,4994,4951,7220,5248,14737,2230,3537,2813,5651,2462,6958,3843,6790,3960,3623,2130,7409,3554,3239,2666,2660,5532,5466,4789,6162,4308,9153,6335,2301,2267,10023,2146,2143,2295,3978,7460,7106,2710,8082,1714,5264,3752,3090,3476,5118,4082,5262,3029,6484,4084,4244,2332,7231,3888,4961,11396,5894
ASG_28:1;O;Hex;FA_16:0,2247,3448,2916,2751,1452,3176,2195,2485,2002,2507,2205,3718,1602,3711,2351,4066,1064,5504,1554,3407,2793,2099,1296,4330,1666,2416,2015,2572,2927,3726,1328,2084,1805,2616,2073,4047,1867,3263,2789,4056,3550,4004,1897,5085,4862,2439,1485,3390,1741,1277,1866,2481,2597,1904,1887,3400,1787,1779,1605,1738,2338,2211,1888,3154,2092,5679,1960,2809,1394,3018,2076,3424,2450,2420
